numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
462,Arthur Singh-Hopkins,Mathew Jones,MYUU82386146576827,0,0,,2020-02-17T17:29:42,0,0,20000,ReprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,,,2018-12-31T00:00:00,8320950,4807039,11244780,6437741,0,7308360,846974,24039928,13670784,12,10369144,2013,De 6 a 10 anos,1000000,TRUE,TRUE,0,550763,
463,Tina Vaughan,Natalie Jones,LWAR94529613197310,3,0,,2016-07-22T17:20:18,0,0,10000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,10000,,,,,,,,,,12261597,0,12,0,2008,De 11 a 16 anos,150000,FALSE,TRUE,0,152000,2020-02-19T15:56:13
464,Ian Simpson,Irene Singh,XUDT16405489125109,5,0.359791427,0,2017-08-02T00:00:00,0,0,10000,AprovadoAnalista,De 51 a 80 % - Alto,0.452830189,0.547169811,0.866025404,10000,,,,,,,,,,884059,0,12,0,1996,Acima de 17 anos,100000,FALSE,TRUE,1,82500,2020-02-19T15:57:04
465,Leanne Bell,Clare Rees-Moss,HUFL97867216799324,2,0.406122422,0,2019-10-09T00:00:00,0,0,15000,AprovadoAnalista,De 31 a 50 % - Médio,0.509433962,0.490566038,0,10000,,,,,,,,,,1254526,0,12,0,2017,De 0 a 5 anos,93700,FALSE,TRUE,1,7400,2020-02-19T15:57:55
466,Jane Wilson,Ashleigh Pollard,WRSF42280952296560,22,0,,2019-01-28T17:27:51,0,0,20000,AprovadoAnalista,De 51 a 80 % - Alto,0.396226415,0.603773585,0.866025404,10000,,,,,,,,,,1454846,0,12,0,2013,De 6 a 10 anos,50000,FALSE,TRUE,0,5400,2020-02-19T16:00:55
467,Dr. Lee Graham,Ann Jackson,HYUS92892218428439,4,0.591993465,0,2017-07-14T00:00:00,0,0,30000,AprovadoAnalista,De 31 a 50 % - Médio,0.622641509,0.377358491,0,15000,,,,,,,,,,624783,0,12,0,2007,De 11 a 16 anos,96000,FALSE,TRUE,1,20240,2020-02-19T16:02:51
468,Melissa Harrison,Dr. Stanley Duncan,OTDI88441466145172,0,0,,2019-12-12T17:29:37,0,0,3000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,0,3000,,,,,,,,,,0,0,1,0,2010,De 6 a 10 anos,20000,FALSE,TRUE,0,142400,2020-02-19T16:03:30
469,Bernard Clark-Marshall,Barry James-King,HVNX28893310492993,57,0.307304028,0,2018-06-11T00:00:00,0,0,15000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,0,15000,,,,,,,,,,394546,0,7,0,2014,De 6 a 10 anos,10000,FALSE,TRUE,1,2700,2020-02-19T16:04:38
470,Damien Harris,Ms. Gemma Parker,XGFU01599165399052,6,0,,2017-02-03T11:44:42,0,0,30000,AprovadoAnalista,De 51 a 80 % - Alto,0.377358491,0.622641509,0,15000,,,,,,,,,,482402,0,12,0,2017,De 0 a 5 anos,10000,FALSE,TRUE,0,3520,2020-02-19T16:10:14
471,Linda Davies,Jeremy Clarke,WQDZ84961051224032,7,0.480984732,0,2014-09-04T00:00:00,0,0,20000,AprovadoAnalista,De 51 a 80 % - Alto,0.471698113,0.528301887,-0.154491912,20000,,,,,,,,,,2797176,0,12,0,2000,Acima de 17 anos,30000,TRUE,TRUE,0.819240496,21500,2020-02-19T16:11:42
472,Denis Simpson,William Thomas,ZTVO50418128245941,4,0.339435746,0,2015-12-02T00:00:00,46,3959.93,130000,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.905660377,0.094339623,0,120000,,2019-12-31T03:00:00,716419,460097,1725588,1265421,200000,349414,4802,4930296,1943217,12,2987079,2013,De 6 a 10 anos,60000,FALSE,FALSE,1,204000,2020-02-19T15:55:24
473,Frank Schofield,Douglas Williams,ROYL58916615423739,3,0.587282118,0,2017-09-08T00:00:00,0,0,5000,AprovadoAnalista,De 11 a 30 % - Baixo,0.849056604,0.150943396,0,5000,,,,,,,,,,18142883,0,12,0,2009,De 11 a 16 anos,81000,FALSE,FALSE,1,300000,2020-02-19T18:06:00
474,Danielle Middleton,Ms. Sophie Perry,NELW58002256713089,4,0.382102052,0,2016-11-04T00:00:00,19,36736.13,130000,AprovadoAnalista,De 11 a 30 % - Baixo,0.849056604,0.150943396,0.866025404,130000,,2019-12-31T03:00:00,63220976,60171387,64437727,1376433,0,20544058,30510478,200771296,25666292,12,164033672,1984,Acima de 17 anos,350000,FALSE,FALSE,1,19345624,2020-02-19T18:05:15
475,Dr. Geoffrey Chapman,Mr. Timothy Clayton,YTBR66149718289186,15,0.560395891,0,2017-01-04T00:00:00,120,321812.57,120000,AprovadoAnalista,De 11 a 30 % - Baixo,0.698113208,0.301886792,0.397331249,120000,,2018-12-31T02:00:00,163775443,129436455,268359890,78265775,60657659,173558,93981204,456348920,179559044,12,276789876,1991,Acima de 17 anos,500000,FALSE,FALSE,0.94090089,0,2020-02-19T18:04:28
476,Margaret Evans,Andrew Harris-Gordon,PZGF11811338294005,2,0,,2006-06-19T15:44:21,0,0,30000,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679,0.169811321,0,30000,,,,,,,,,,8167419,0,6,0,1997,Acima de 17 anos,24000,FALSE,FALSE,0,204000,2020-02-19T20:15:05
477,Dr. Tracy Chandler,Dr. Sarah Turner,FFYN25302864354791,22,0.352645064,0,2015-08-18T00:00:00,15,18185.3,100000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,0.97615173,,
478,Paul Woodward,Vincent Stephenson,XGCX31661930782586,7,0.393263157,0,2007-07-10T00:00:00,0,0,50000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0.866025404,50000,,2018-12-31T00:00:00,2536269,444041,2536269,2340632,0,1504506,900156,2569044,1042743,12,1526301,2005,De 11 a 16 anos,200000,FALSE,TRUE,1,34400,2020-02-19T20:16:21
479,Bethany Miller,Jessica Lawrence,ZPXI67236452042256,4,0.40056263,0,2019-10-01T00:00:00,0,0,200000,AprovadoComite,De 11 a 30 % - Baixo,0.773584906,0.226415094,0,100000,2020-02-19T20:52:15,2019-12-31T03:00:00,3401983,2303119,3780783,1335634,7000,1584511,412993,5494705,1228122,12,4266583,2013,De 6 a 10 anos,140000,FALSE,TRUE,1,68312,
480,Tina Knowles,Mathew Gibson,KRST28775610809302,2,0.457022972,0,2019-08-26T00:00:00,0,0,49999,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,0,49900,,2019-12-31T00:00:00,466481,160809,899516,553336,0,228188,158828,0,0,12,0,2018,De 0 a 5 anos,3694515,FALSE,FALSE,1,78000,2020-02-19T20:22:10
481,Dr. Damien Wilson,Jade Singh-Price,BCSO88574487305348,4,0.268499731,0,2017-01-06T00:00:00,25,7721.5,50000,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,0,50000,,,,,,,,,,1817000,0,12,0,2008,De 11 a 16 anos,600000,FALSE,TRUE,1,5400,2020-02-19T20:25:28
482,Rachael Richardson,Dr. Stuart Johnson,LQXI42131268046994,4,0.430399188,0,2015-07-17T00:00:00,0,0,30000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,-0.866025404,30000,,,,,,,,,,2918574,0,12,0,2012,De 6 a 10 anos,80000,FALSE,TRUE,0.909191845,54000,2020-02-19T20:29:53
483,Dr. Charlie Mahmood,Kevin O'Donnell,CBOR02474212875560,11,0.346834963,0,2017-01-05T00:00:00,0,3428.52,60000,AprovadoAnalista,De 31 a 50 % - Médio,0.660377358,0.339622642,0,60000,,2018-12-31T02:00:00,3142244,345323,3181529,2836205,0,1475050,143505,2909590,1772352,12,1137238,2010,De 6 a 10 anos,300000,FALSE,TRUE,0.602037626,16500,2020-02-20T14:58:08
484,Dr. Catherine Marshall,Beth Jackson,KJLZ02519864515986,4,0.52773534,0,2017-09-29T00:00:00,0,0,30000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,5.00E-16,30000,,,,,,,,,,3453837,0,12,0,1999,Acima de 17 anos,450000,FALSE,TRUE,0.884137899,55900,2020-02-19T20:31:35
485,Maria Wilson,Adam Little,MBDW85483880844398,5,0.35289083,0,2012-07-16T00:00:00,108,117805.62,200000,AprovadoAnalista,De 11 a 30 % - Baixo,0.811320755,0.188679245,0,175000,,2019-12-31T03:00:00,2282539,2338524,2440318,-151948,0,887426,830994,13948422,5472542,12,8475880,2002,Acima de 17 anos,100000,FALSE,FALSE,1,281200,2020-02-19T20:29:05
486,Henry Rees,Alice Welch,WFGN98192449084652,0,0,,,0,0,48000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,0,25000,,,,,,,,,,870005,0,12,0,2004,De 11 a 16 anos,5000,FALSE,TRUE,0,17600,2020-02-19T20:33:58
487,George Hancock-Flynn,Maria Warren,TQSS51432668230116,3,0.390040576,0,2017-10-11T00:00:00,0,0,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0.742893145,20000,,,,,,,,,,90435666,10070746,12,71364921,2000,Acima de 17 anos,850000,FALSE,FALSE,0.992340888,6800,2020-02-19T20:34:57
488,Denise Thompson,Dr. Christian Smith,LHGO39484013568564,22,0.399997093,0,2018-03-27T00:00:00,173,10212,45000,AprovadoAnalista,De 51 a 80 % - Alto,0.433962264,0.566037736,0.085528245,45000,,,,,,,,,,3601966,0,12,0,2015,De 0 a 5 anos,93700,FALSE,TRUE,1,720,2020-02-19T20:36:29
489,Dr. Tracy Chandler,Dr. Sarah Turner,FFYN25302864354791,22,0.352645064,0,2015-08-18T00:00:00,15,18185.3,100000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,0.97615173,,
490,Kelly Henderson,Laura Holden,MNTE58109921623830,5,0.640239648,0,2018-04-05T00:00:00,0,0,30000,AprovadoAnalista,De 31 a 50 % - Médio,0.622641509,0.377358491,4.00E-16,30000,,,,,,,,,,3039774,0,12,0,2005,De 11 a 16 anos,35000,FALSE,TRUE,1,22000,2020-02-19T20:37:29
491,Mr. Joe Cole,Marilyn Murphy,GTVQ76975945735585,30,0.098194759,0,2014-03-26T00:00:00,17,776,75000,AprovadoAnalista,De 31 a 50 % - Médio,0.679245283,0.320754717,0,75000,,2019-07-31T03:00:00,58334714,31355489,60521464,28938893,0,21477388,34510852,62317466,17615667,7,44701799,2001,Acima de 17 anos,150000,TRUE,TRUE,1,7350259,2020-02-19T20:44:57
492,Jake Allen,Sally Hughes-Taylor,DJRD90539963458120,6,0.488280711,0,2018-08-10T00:00:00,42,33764,80000,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679,0.169811321,0,80000,,2018-12-31T02:00:00,4396588,4396588,4396588,3926948,0,3236450,1007952,2296559,0,12,0,1997,Acima de 17 anos,400000,FALSE,TRUE,1,38000,2020-02-19T20:46:11
493,Dr. Tracy Chandler,Dr. Sarah Turner,FFYN25302864354791,22,0.352645064,0,2015-08-18T00:00:00,15,18185.3,100000,AprovadoAnalista,De 31 a 50 % - Médio,0.566037736,0.433962264,0.997894332,100000,,2018-12-31T02:00:00,2086470,1212832,2200899,972630,149971,560334,1462171,11584916,0,12,0,2014,De 6 a 10 anos,180000,FALSE,TRUE,0.97615173,89000,2020-02-19T20:39:21
494,Henry Dawson,Beth Ellis,CEHN89710157800071,57,0.391246903,0,2017-01-06T00:00:00,41,100246.8,300000,AprovadoAnalista,De 11 a 30 % - Baixo,0.773584906,0.226415094,0.000734498,300000,,2019-12-31T03:00:00,42690269,18212176,52988850,34776673,0,15214709,16128275,97135339,37164941,12,59970398,1998,Acima de 17 anos,600000,FALSE,FALSE,1,142400,2020-02-19T20:55:40
495,Martyn Brown-Jackson,Miss Frances Bull,EHDJ94994204173246,779,0.346007511,0,2009-08-14T00:00:00,0,0,88500,AprovadoAnalista,De 31 a 50 % - Médio,0.641509434,0.358490566,-0.645773137,88500,,2018-12-31T02:00:00,3603743,101036,3763064,3662028,0,829122,2420492,5047882,2856639,12,2191243,2006,De 11 a 16 anos,400000,FALSE,TRUE,0.938866132,26000,2020-02-19T20:52:34
496,Martin Fletcher,Douglas Wilson-Simpson,TDAR25967861820022,14,0.398663723,0,2013-01-17T00:00:00,49,32886.49,150000,AprovadoAnalista,De 11 a 30 % - Baixo,0.698113208,0.301886792,0,100000,,2019-07-31T03:00:00,12121750,17379471,19467096,473771,0,9010626,3145285,18531697,5484630,7,18531697,2007,De 11 a 16 anos,118000,FALSE,FALSE,1,731338,2020-02-19T20:57:28
497,Dr. Joel Scott,Trevor Thompson-Graham,WQGR61841788383763,2,0.606343305,0,2015-09-16T00:00:00,0,0,10000,AprovadoAnalista,De 31 a 50 % - Médio,0.509433962,0.490566038,0,10000,,,,,,,,,,1449183,0,12,0,2015,De 0 a 5 anos,30000,FALSE,TRUE,1,5920,2020-02-19T20:58:10
498,Sian Higgins,Lindsey Daniels-Scott,DXOR49994053124587,3,0.438015958,0,2019-02-19T00:00:00,6,10644.89,23800,AprovadoAnalista,De 51 a 80 % - Alto,0.396226415,0.603773585,0,10000,,,,,,,,,,885023,0,12,0,2018,De 0 a 5 anos,150000,TRUE,TRUE,1,33000,2020-02-19T20:59:29
499,George Hancock-Flynn,Maria Warren,TQSS51432668230116,3,0.390040576,0,2017-10-11T00:00:00,0,0,30000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0.742893145,30000,,,,,,,,,,90435666,10070746,12,71364921,2000,Acima de 17 anos,850000,FALSE,FALSE,0.992340888,6800,2020-02-19T21:00:43
500,Elizabeth Fox,Shane Taylor-Weston,UGLY63529566283906,5,0.50927711,0,2019-04-09T00:00:00,54,14228.03,20000,AprovadoAnalista,De 51 a 80 % - Alto,0.396226415,0.603773585,0,20000,,,,,,,,,,179164,0,3,0,2017,De 0 a 5 anos,30000,FALSE,TRUE,1,16280,2020-02-19T21:02:05
501,Joanne Roberts,Mrs. Debra Holloway,RBMR45781118595526,20,0.214009057,0,2007-04-11T00:00:00,44,6825,100000,AprovadoComite,De 31 a 50 % - Médio,0.679245283,0.320754717,-0.879965431,50000,2020-02-20T13:56:01,2019-12-31T03:00:00,4443609,680927,4668405,2868815,0,1894443,1354653,6395265,2351130,12,4044135,2007,De 11 a 16 anos,30000,FALSE,TRUE,0.996886253,19980,
502,Dr. Luke Ahmed,Danielle Jackson,FQSV38617597608237,9,0.355197968,0,2014-04-25T00:00:00,39,452385.76,220000,AprovadoAnalista,De 31 a 50 % - Médio,0.660377358,0.339622642,-0.891603207,220000,,2019-12-31T03:00:00,9665267,6437752,10030754,1078382,1945840,4614169,3240141,25883625,8552541,12,17331084,2003,Acima de 17 anos,1010000,FALSE,FALSE,0.996023897,445000,2020-02-20T14:59:08
503,Dr. Raymond Bennett,Patrick Black,HAXW37735311932984,3,0.271266667,0,2014-08-26T00:00:00,0,0,10000,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679,0.169811321,0,10000,,,,,,,,,,33113327,0,12,0,1997,Acima de 17 anos,20000,FALSE,FALSE,1,1621271,2020-02-20T17:16:12
504,Aaron Mitchell,Dr. Leon Thomas,UCXM05710193423264,5,0.326367205,0,2018-09-19T00:00:00,22,2244.33,20000,AprovadoAnalista,De 31 a 50 % - Médio,0.490566038,0.509433962,0,20000,,,,,,,,,,1378708,0,12,0,2013,De 6 a 10 anos,93700,FALSE,TRUE,1,22734,2020-02-20T15:01:38
505,Ruth O'Donnell,Leonard Harris,AFRX59050469898177,0,0.315610905,0,2014-03-25T00:00:00,0,0,40000,AprovadoAnalista,De 11 a 30 % - Baixo,0.79245283,0.20754717,0,40000,,2019-09-30T00:00:00,1770402,1306002,2435375,847825,78561,774719,605995,7504363,2701509,9,4802854,2001,Acima de 17 anos,15000,FALSE,TRUE,1,66000,2020-02-20T17:17:03
506,Melanie Simpson-Turner,Heather Kelly,WDCL89446050579981,119,0.334404467,0,2009-04-22T00:00:00,0,0,50000,AprovadoAnalista,De 31 a 50 % - Médio,0.660377358,0.339622642,-0.884407253,50000,,2018-12-31T00:00:00,6713566,473939,6774189,6299990,0,0,3739973,3719615,1682571,12,2037044,1995,Acima de 17 anos,100000,FALSE,TRUE,0.842034428,82500,2020-02-20T15:02:26
507,Scott Ball,Annette Owen-Thomas,GDNV37902171840321,80,0,,2016-07-27T11:24:11,0,0,80000,AprovadoAnalista,De 31 a 50 % - Médio,0.58490566,0.41509434,0.368994814,40000,,2019-12-31T03:00:00,32104597,11199009,35814214,19750519,432929,168489869,13063689,41574896,25402709,12,25402709,2003,Acima de 17 anos,500000,FALSE,TRUE,0,0,2020-02-20T15:00:48
508,Mr. Steven Knight,Alex Robinson,NVBZ90034919533022,3,0.52223039,0,2019-10-14T00:00:00,0,0,30000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,20000,,,,,,,,,,3807317,0,12,0,2007,De 11 a 16 anos,200000,FALSE,TRUE,1,7020,2020-02-20T17:17:54
509,Brett Hughes,Joe Robson,CXLU95910927193779,54,0.551936272,0,2018-06-18T00:00:00,44,802200,70000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,-2.00E-16,70000,,2018-12-31T02:00:00,2501867,2114858,2575185,447231,13096,847479,410797,5793851,2558277,12,3235574,2014,De 6 a 10 anos,150000,FALSE,TRUE,0.719981111,38000,2020-02-20T17:18:51
510,Miss Harriet Tyler,Jade Thomas,EKFW96917765445914,11,0.265525466,0,2019-04-18T00:00:00,8,6400,50000,AprovadoComite,De 31 a 50 % - Médio,0.603773585,0.396226415,0,26000,2020-02-20T18:05:27,,,,,,,,,496545,0,12,0,1985,Acima de 17 anos,70000,FALSE,TRUE,1,13500,
511,Antony Howells,Ms. Aimee Marshall,SNFN46221342397506,5,0.502559065,0,2017-05-26T00:00:00,0,0,40000,AprovadoAnalista,De 31 a 50 % - Médio,0.622641509,0.377358491,0,20000,,,,,,,,,,1856529,0,12,0,2017,De 0 a 5 anos,50000,FALSE,TRUE,1,10800,2020-02-20T17:22:18
512,Amber Evans,Jennifer Little-Allan,HHDV87070786136116,8,0.574154277,0,2016-04-15T00:00:00,3,40293.08,400000,AprovadoComite,De 31 a 50 % - Médio,0.603773585,0.396226415,0.876721752,400000,2020-02-20T18:07:08,2019-06-30T03:00:00,33529878,35671037,37398525,1000000,727488,0,15113214,89803882,53233195,6,36570687,1999,Acima de 17 anos,1000000,FALSE,TRUE,0.996735423,14399896,
513,Andrew Wood,Mr. Robin Smith,RPVV45353639813861,18,0,,2016-03-08T17:10:13,0,0,40000,ReprovadoAnalista,De 51 a 80 % - Alto,0.452830189,0.547169811,-0.866025404,,,,,,,,,,,10623441,0,12,0,1998,Acima de 17 anos,841150,TRUE,TRUE,0,209286,
514,Carole Marshall,Mr. Ronald Brown,JLWP70764728187972,0,0.479673935,0,2018-10-26T00:00:00,17,1319.98,10000,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,0,10000,,,,,,,,,,1845484,0,12,0,2009,De 11 a 16 anos,10000,FALSE,TRUE,1,14720,2020-02-20T17:49:05
515,Joseph Daly,Raymond Porter,HBFL40994658031154,3,0.564650705,0,2018-08-31T00:00:00,103,24224.33,50000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,50000,,,,,,,,,,10723354,0,12,0,1995,Acima de 17 anos,150000,FALSE,TRUE,1,4400,2020-02-20T17:50:30
516,Dominic Leach,Emma Carey-Richardson,DJQY68299091886555,30,0,,2017-10-05T17:24:34,0,0,40000,ReprovadoAnalista,De 51 a 80 % - Alto,0.471698113,0.528301887,0.806604307,,,2018-12-31T00:00:00,1692746,908963,1997761,313202,261519,601187,1076792,7545846,5840073,12,1723742,2001,Acima de 17 anos,100000,TRUE,TRUE,0,212765,
517,Dylan Patel,Pamela O'Connor-Elliott,UROK12989214376913,6,0.513960431,0,2017-08-04T00:00:00,0,0,15000,ReprovadoAnalista,De 31 a 50 % - Médio,0.566037736,0.433962264,-0.940223006,,,2018-12-31T00:00:00,10647649,832513,10656649,9824135,38086,33391,505050,5082480,2623634,11,2458846,2000,Acima de 17 anos,120000,TRUE,TRUE,0.892290445,2700,
518,Margaret Morton,Georgina Edwards,FOQD35950552565600,14,0.523043632,0,2017-10-16T00:00:00,0,0,30000,AprovadoAnalista,De 31 a 50 % - Médio,0.566037736,0.433962264,-0.926342045,10000,,2019-12-31T00:00:00,423544,133500,423544,290043,0,39107,220837,300490,89373,12,211117,2014,De 6 a 10 anos,50000,FALSE,TRUE,0.918157989,33000,2020-02-20T18:15:14
519,Benjamin Poole,Rachael Griffiths,DCHW02519706253871,31,0,,2017-12-20T08:50:13,0,0,30000,AprovadoAnalista,De 51 a 80 % - Alto,0.301886792,0.698113208,0.99355425,10000,,,,,,,,,,1455615,0,12,0,2017,De 0 a 5 anos,100000,FALSE,TRUE,0,13170,2020-02-20T18:19:42
520,Ms. Jean Barrett,Rachel Gibson,AZIC71676245227613,18,0,,2015-10-07T17:18:41,0,0,30000,AprovadoAnalista,De 31 a 50 % - Médio,0.547169811,0.452830189,0.866025404,30000,,,,,,,,,,3918007,0,10,0,2013,De 6 a 10 anos,95400,FALSE,TRUE,0,405938,2020-02-20T18:22:02
521,Dr. Jack Pearson,Elaine Hunt,LMIS45136857687849,0,0,,2019-09-11T17:29:06,0,0,15000,AprovadoAnalista,De 11 a 30 % - Baixo,0.773584906,0.226415094,0,15000,,2019-12-31T00:00:00,22439984,18426979,24595889,2904424,10636933,9741841,8716419,0,0,1,0,1998,Acima de 17 anos,380000,FALSE,FALSE,0,3497472,2020-02-20T19:36:18
522,Ruth O'Donnell,Leonard Harris,AFRX59050469898177,0,0.315610905,0,2014-03-25T00:00:00,0,0,40000,AprovadoAnalista,De 11 a 30 % - Baixo,0.79245283,0.20754717,0,40000,,2019-09-30T00:00:00,1770402,1306002,2435375,847825,78561,774719,605995,7504363,2701509,9,4802854,2001,Acima de 17 anos,15000,FALSE,TRUE,1,66000,2020-02-20T19:59:20
523,Carole Iqbal,Kerry Bowen,LNGE93053337229755,24,0.357483325,0,2008-05-15T00:00:00,63,32680.39,300000,AprovadoAnalista,De 11 a 30 % - Baixo,0.773584906,0.226415094,5.80E-15,300000,,2019-10-31T03:00:00,14141365,3083210,16544896,11989746,0,8419595,4815404,34685864,7103553,10,27582312,1988,Acima de 17 anos,2000000,FALSE,FALSE,0.989554745,5670000,2020-02-20T19:21:37
524,Mrs. Michelle Ellis,Joel Flynn,WLEC28465349464943,5,0.53204598,0,2013-03-13T00:00:00,6,27657,55000,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,0,55000,,2018-12-31T02:00:00,1089438,282294,1091407,809113,0,320457,628792,1221923,0,12,0,2007,De 11 a 16 anos,100000,FALSE,TRUE,1,15000,2020-02-20T20:02:21
525,Elliot Tyler,Dr. Robert Smith,LJED53034781876818,3,0.419447305,0,2009-11-12T00:00:00,0,0,30000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,30000,,,,,,,,,,2031266,0,12,0,1996,Acima de 17 anos,100000,FALSE,TRUE,1,75600,2020-02-20T20:06:19
526,Russell Kirby,Dr. Diane Bird,SQYW10688933765755,43,0.350146191,0,2017-03-23T00:00:00,0,0,30000,AprovadoComite,De 31 a 50 % - Médio,0.528301887,0.471698113,0.835862324,15000,2020-02-21T12:44:47,,,,,,,,,2230621,1265987,12,964634,2019,De 0 a 5 anos,1300,FALSE,FALSE,0.945451332,1120,
527,Dr. Grace Smith,Billy Bolton,XKXY96762412914186,41,0.529873516,0,2010-09-14T00:00:00,11,6985.33,48500,ReprovadoAnalista,De 31 a 50 % - Médio,0.528301887,0.471698113,0.381911741,,,,,,,,,,,4824041,0,12,0,2008,De 11 a 16 anos,100000,TRUE,FALSE,0.745899539,0,
528,Duncan Kay,Julian Morrison-Lewis,TEGD95916479811228,3,0,,2018-05-03T17:26:07,0,0,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.849056604,0.150943396,0,20000,,,,,,,,,,6002174,0,12,0,2007,De 11 a 16 anos,780000,FALSE,FALSE,0,12500,2020-02-20T19:36:54
529,Derek Dawson,Andrew Brown,UOLE40074413193927,4,0.521352766,0,2015-10-21T00:00:00,0,0,30000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,30000,,,,,,,,,,1559499,0,6,0,2008,De 11 a 16 anos,100000,FALSE,TRUE,1,4320,2020-02-20T20:14:41
530,Marie Norris-Farmer,Ms. Rosie Greenwood,LZBV14579065219302,0,0.443450418,0,2018-01-22T00:00:00,0,65797,90000,AprovadoComite,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,40000,2020-02-21T12:43:20,2017-01-01T02:00:00,0,0,0,0,0,0,0,0,0,1,0,1983,Acima de 17 anos,300000,FALSE,FALSE,1,4569345,
531,Chelsea Harrison,Margaret Bailey,WIOG49153336375422,6,0.370447995,0,2017-08-30T00:00:00,0,0,115000,AprovadoAnalista,De 31 a 50 % - Médio,0.660377358,0.339622642,0.866025404,115000,,2018-12-31T02:00:00,6624148,1313009,7335331,6022321,51226,1350334,4816479,11329453,3789951,12,7539502,2012,De 6 a 10 anos,400000,FALSE,TRUE,1,127055,2020-02-20T19:39:02
532,Shirley Hayward,Mr. Stanley Pearson,ONKS84185431179581,17,0.472848221,0,2015-09-28T00:00:00,16,1512,20000,AprovadoAnalista,De 31 a 50 % - Médio,0.641509434,0.358490566,0.895971765,10000,,,,,,,,,,1900306,0,12,0,2009,De 11 a 16 anos,100000,FALSE,FALSE,1,30400,2020-02-20T20:04:04
533,Dr. Terry Harris,Denis Walton,ZOTK16751017765871,3,0,,2015-11-24T17:19:13,0,0,1000000,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,-0.866025404,100000,,2019-12-31T03:00:00,4788225,4783150,5195827,200519,212157,2971408,701409,7186820,3792667,12,3394153,2014,De 6 a 10 anos,500000,FALSE,FALSE,0,54400,2020-02-20T19:20:19
534,Ricky Kelly,Anne Welch-Campbell,OPNI24346853582080,5,0,,2019-01-29T14:11:28,0,0,120000,AprovadoAnalista,De 11 a 30 % - Baixo,0.867924528,0.132075472,0,110000,,2018-12-31T02:00:00,0,0,0,0,0,0,0,32245170,0,12,0,2012,De 6 a 10 anos,40000,FALSE,FALSE,0,600000,2020-02-20T18:28:41
535,Mrs. Beth Griffiths,Martyn Davies-Williams,QLBZ32069539909522,2,0,,2017-08-14T17:24:50,0,0,3000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,3000,,,,,,,,,,0,0,1,0,2011,De 6 a 10 anos,1,FALSE,FALSE,0,6300,2020-02-20T20:05:15
